M;Punto;C¢d.Prv.;Provincia;C¢d.Pais;Pa°s;C¢d.Ruta;Ruta;C¢d.Zona;Zona;C¢d.Cli.;Cliente;C¢d.Postal;C¢d.Pto.;Env.Serv.;C¢d.Contc.;Contacto;Ub.
FALSO;A ESTRADA;;;;;;;;;;;;ESTRA;;;;
FALSO;ABRANTES (PT);;;;;;;;;;;;ABRA;;;;
FALSO;ACOR-BIODIESEL;;;;;;;;;;;;ACOR;;;;
FALSO;ACRILATOS, SAU;;;;;;;;;;;;ACRIL;;;;
FALSO;ADHESIVOS GIMPEX, S.L;;;;;;;;;;;;GIMPE;;;;
FALSO;ADIEGO HERMANOS, S.A.;;;;;;;;;;;;ADIEG;;;;
FALSO;AGRELA SANTO TIRSO;;;;;;;;;;;;AGREL;;;;
FALSO;AGUEDA;;;;;;;;;;;;AGUED;;;;
FALSO;AGUILAR CAMPO;;;;;;;;;;;;CAMPO;;;;
FALSO;AGULLENT;;;;;;;;;;;;AGULL;;;;
FALSO;AGURAIN;;;;;;;;;;;;AGURA;;;;
FALSO;AHLSTROM LABELPACK;;;;;;;;;;;;AHLST;;;;
FALSO;ALANQUE;;;;;;;;;;;;ALANQ;;;;
FALSO;ALAVA;;;;;;;;;;;;ALAVA;;;;
FALSO;ALBACETE;AB;ALBACETE;;;;;E;;;;;AB;;;;
FALSO;ALBACETE;;;;;;;;;;;;ALBAC;;;;
FALSO;ALCALA HENARES;;;;;;;;;;;;ALCAL;;;;
FALSO;ALCANENA(PT);;;;;;;;;;;;ALCAN;;;;
FALSO;ALCAZAR DE S. JUAN;;;;;;;;;;;;ALCAZ;;;;
FALSO;ALCA•IZ;;;;;;;;;;;;ALCA•;;;;
FALSO;ALCOBENDAS;;;;;;;;;;;;ALCOB;;;;
FALSO;ALCOVER;;;;;;;;;;;;ALCOV;;;;
FALSO;ALCOVER QUIMINA, S.L.;;;;;;;;;;;;ALCO;;;;
FALSO;ALDEAMAYOR;;;;;;;;;;;;ALDEA;;;;
FALSO;ALEGIA;;;;;;;;;;;;ALEG;;;;
FALSO;ALEMANIA;;;;;;;;;;;;ALEMA;;;;
FALSO;ALENQUER;;;;;;;;;;;;ALENQ;;;;
FALSO;ALFARO;;;;;;;;;;;;ALFAR;;;;
FALSO;ALFENA(PT);;;;;;;;;;;;ALFEN;;;;
FALSO;ALGECIRAS;;;;;;;;;;;;ALGEC;;;;
FALSO;ALGRY QUYIMICA, S.L.;;;;;;;;;;;;ALGRY;;;;
FALSO;ALICANTE;A;ALICANTE;;;;;E;;;;;A;;;;
FALSO;ALICANTE;;;;;;;;;;;;ALICA;;;;
FALSO;ALJUSTREL (PT);;;;;;;;;;;;9713;;;;
FALSO;ALLO;NA;NAVARRA;;;;;;;;;;ALLO;;;;
FALSO;ALMADA (PT);;;;;;;;;;;;ALMA;;;;
FALSO;ALMEIRIN (PT);;;;;;;;;;;;ALMEI;;;;
FALSO;ALMENDRALEJO;;;;;;;;;;;;ALMEN;;;;
FALSO;ALMERIA;AL;ALMER÷A;;;;;E;;;;;AL;;;;
FALSO;ALMODOVAR (PT);;;;;;;;;;;;9714;;;;
FALSO;ALMUSAFFES;;;;;;;;;;;;ALMUS;;;;
FALSO;ALONSOTEGUI;;;;;;;;;;;;ALONS;;;;
FALSO;ALOVERA;;;;;;;;;;;;ALOVE;;;;
FALSO;ALPIARÄA;;;PT;PORTUGAL;;;;;;;;9728;;;;
FALSO;ALTORRICON (HU);;;;;;;;;;;;ALTO;;;;
FALSO;ALVERCA;;;;;;;;;;;;ALVER;;;;
FALSO;AMADORA (PT);;;;;;;;;;;;AMAD;;;;
FALSO;AMBARES;;;;;;;;;;;;AMBAR;;;;
FALSO;AMBERES;;;;;;;;;;;;AMBER;;;;
FALSO;AMELIE LES BAINS;;;;;;;;;;;;AMELI;;;;
FALSO;AMOREBIETA;;;;;;;;;;;;AMORE;;;;
FALSO;AMORIN REVESTIMENTOS, SA;;;;;;;;;;;;AMORI;;;;
FALSO;AMPOSTA;;;;;;;;;;;;AMPOS;;;;
FALSO;ANADIA;;;;;;;;;;;;ANADI;;;;
FALSO;ANDOAIN;;;;;;;;;;;;ANDO;;;;
FALSO;ANDORRA;;;;;;;;;;;;ANDOR;;;;
FALSO;ANLEO;;;;;;;;;;;;ANLEO;;;;
FALSO;ANLEO-SEVARES;;;;;;;;;;;;ANLSE;;;;
FALSO;AQUACRIA AROUSA,SA;;;;;;;;;;;;AQUAC;;;;
FALSO;ARAIA;;;;;;;;;;;;9732;;;;
FALSO;ARANDA DEL DUERO;;;;;;;;;;;;ARAND;;;;
FALSO;ARANGUREN;;;;;;;;;;;;ARANG;;;;
FALSO;ARANJUEZ;;;;;;;;;;;;ARANJ;;;;
FALSO;ARAYA;;;;;;;;;;;;ARAYA;;;;
FALSO;ARAZURI;NA;NAVARRA;;;;;;;;;;ARAZU;;;;
FALSO;ARCHELA CONTRACHAPADOS,SL;;;;;;;;;;;;ARCHE;;;;
FALSO;ARGANIL (PT);;;;;;;;;;;;ARGA;;;;
FALSO;ARNEDO;;;;;;;;;;;;ARNED;;;;
FALSO;ARRANCUDIAGA;;;;;;;;;;;;ARRAN;;;;
FALSO;ARRIGORRIAGA;;;;;;;;;;;;ARRIG;;;;
FALSO;ARTABRA;;;;;;;;;;;;ARTAB;;;;
FALSO;ARTEIXO;;;;;;;;;;;;ARTEI;;;;
FALSO;AS PONTES;;;;;;;;;;;;PONTE;;;;
FALSO;AS SOMOZAS;;;;;;;;;;;;SOMOZ;;;;
FALSO;ASTORGA;;;;;;;;;;;;ASTOR;;;;
