punto;cod_pto;usos
CALDAS DE REIS;1;2010
OREMBER;OR;1008
VILLAGARCIA;2;421
AVEIRO;AVEIR;359
UTISA TERUEL;UTI;358
TORDESILLAS;TORD;330
BARCELONA;B;314
TARRAGONA;T;127
IP DECOR SPAIN, SAU;IP;91
MADRID;M;89
GETAFE;GETAF;62
VALDEMORO;VALD;60
MIRANDA DE EBRO;MIR;57
ORENSE;ORE;56
TERMOLAN, S.A.;TERMO;49
HUELVA;H;44
LEIRIA (PT);LEIRI;41
CURIA SPAIN, SAU;CURIA;40
URSA IBERICA, S.A.;URSA;40
BRAGA (PT);BRAGA;37
PORRIÑO;PORRI;34
HARINAS ALMELA,SC;HARIN;33
VIGO;VIGO;27
NEFAB PONTEV. SL;NEFAB;27
VILANOVA FAMALICAO;FAMAL;26
PONTEVEDRA;PO;25
CURTIS;CURTI;24
COGERSA;COGER;20
REINOSA;REIN;19
BURGOS;BU;18
SANTAREM;SANTA;18
ALCALA HENARES;ALCAL;17
TOLEDO;TO;17
SEVILLA;SE;16
AZUQUECA DE HENARES;AZUQU;15
ESTARREJA;ESTAR;14
KRONOSPAN, S.L.;KRONO;14
DROGAS VIGO, S.L.;DROGA;13
AVILES;AVILE;12
MEM MARTINS (PT);MEMMA;12
QUER;QUER;11
COIMBRA;COIMB;11
RUBI;RUBI;10
SILLEDA;SILLE;10
S.JOAO MADEIRA;JOAO;10
MINDELO;MIND;10
OVAR;OVAR;10
SALVATIERRA;SALVA;9
TABLESTUY, S.L.;TABLE;9
ALCOVER QUIMINA, S.L.;ALCO;9
ZIERBANA;ZIERB;8
MEJORADA;MEJOR;8
LEON;LE;8
MAIA;MAIA;8
SERVYECO IBERIA,SL;SERVY;8
ZUERA;ZUERA;7
BILBAO;BI;7
SETUBAL;SETUB;7
SANTIAGO;SANTI;7
CORUÑA;C;7
O PORTO;OPORT;7
GUADALAJARA;GU;7
TORTOSA;TORTO;7
GUIMARAES;GUIM;7
BADAJOZ;BA;7
VALLADOLID;VA;6
VILLALBA;VIL;6
CLARIANT, S.A.;CLARI;6
TEIXEIRO;TEIXE;6
SOLOGAS (AS SOMOZAS);9725;6
NAVIA;NAVIA;6
SOBRALINHO(PT);SOBRA;6
CANOVELLES;CANOV;5
PALENCIA;P;5
AMOREBIETA;AMORE;5
FRANCIA;FR;5
AZAMBUJA(PT);AZAMB;5
GUARDA (PT);GUAR;5
VILARINHO(PT);VILAR;5
LORCOL;LORCO;5
VIC;VIC;5
ZNDS TABLEROS, S.L.;ZNDS;5
ZAMUDIO;ZAMUD;4
LISBOA;LISBO;4
MUGARDOS;MUGAR;4
CADIZ;CA;4
COMERCIAL GODO, S.L.;GODO;4
PONTEDEUME;PONT;4
CASTANHEIRA RIBATEJO(PT);CASTA;4
DROGAS CONDE, S.A.;DROG;4
PORTALEGRE;PORT;4
SARIEGO;SARIE;4
LOUSADA;LOUSA;4
IND.QUIM.CUADRADO,SA;INDCU;4
RABADE;RABAD;4
ARRIGORRIAGA;ARRIG;4
GUARNIZO;GUARN;4
CABANILLAS DEL CAMPO;CABAN;3
BARREIRO(PT);BARRE;3
BAION;BAION;3
MADERAS DE LLODIO,SA;LLOD;3
HELDER ROB.MOREIRA;HELDE;3
LANTEMIL (PT);LANTE;3
CATENVA, S.L.;CATEN;3
ADHESIVOS GIMPEX, S.L;GIMPE;3
ALFENA(PT);ALFEN;3
BEGONTE;BEGON;3
ERMESINDE(PT);ERMES;3
SANFINS (PT);SANFI;3
VALADARES(PT);VALAD;3
